"leverancier"	"aantal_kostensoorten"	"totaal_staffel"	"diversity"
"Conrad Electronic"	94	104	84.9615384615385
"Manutan (vh Overtoom International)"	106	141	79.6879432624114
"Bol.Com"	85	93	77.6881720430108
"De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie)"	65	69	61.231884057971
"Protinus It"	134	341	52.6568914956012
"Van der Valk Hotels"	72	100	51.84
"Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed)"	69	92	51.75
"Hollandse Hoogte"	56	62	50.5806451612903
"Rendement"	52	56	48.2857142857143
"Oudaen Stadskasteel"	56	65	48.2461538461538
"Logeion Vereniging Voor Communicatie"	48	48	48
"Bilderberg Hotels"	61	79	47.1012658227848
"Wegener Nieuws Media (incl. De Gelderlander, De stentor)"	49	51	47.078431372549
"CB Centraal Boekhuis (incl. Facturatie)"	52	58	46.6206896551724
"Ropeni (incl. Schlemmer)"	59	75	46.4133333333333
"Nieuwspoort"	48	50	46.08
"Carlton Hotel"	61	81	45.9382716049383
"Coolblue - Pda Shops"	50	55	45.4545454545455
"Fletcher Hotel Restaurant"	50	56	44.6428571428571
"7Am"	63	91	43.6153846153846
"B+B Vakmedianet"	53	65	43.2153846153846
"CCV Services"	45	47	43.0851063829787
"Central Point"	46	50	42.32
"Entopic"	46	51	41.4901960784314
"Amazing Bread Company (incl. Mammomi)"	49	58	41.3965517241379
"NH Hotels (incl. Nhow hotels)"	67	109	41.1834862385321
"De Basiliek Restaurant"	42	43	41.0232558139535
"Tower Leisure (Haagse Toren)"	41	41	41
"Technische Unie"	68	113	40.9203539823009
"CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel"	64	101	40.5544554455446
"Regardz (incl. Iassociate)"	63	98	40.5
"KPN (incl. Getronics, PTT Telecom)"	129	418	39.811004784689
"Equipe Quality Products (incl. Health2Work)"	48	58	39.7241379310345
"New Babylon Meeting Center"	57	82	39.6219512195122
"Mercure Hotels"	49	61	39.3606557377049
"Wolters Kluwer (incl. Kluwer)"	66	111	39.2432432432432
"Best Western Hotels"	39	39	39
"Jaarbeurs Utrecht"	66	112	38.8928571428571
"Ziggo (vh Casema)"	56	81	38.7160493827161
"Banketbakkerij Boheemen"	38	38	38
"Dudok (Horeca Exploitatie WWZ IV)"	38	38	38
"Multicopy (incl. Andre Cossee)"	43	49	37.734693877551
"XS4ALL Internet"	44	52	37.2307692307692
"BIM Media"	39	41	37.0975609756098
"SDU - Service Centrum Uitgevers"	69	129	36.906976744186
"Pavlov Bar Restaurant"	40	44	36.3636363636364
"Karel V Utrecht Grand Hotel"	47	61	36.2131147540984
"Golden Tulip"	58	94	35.7872340425532
"NFGD Audiovisuele Technieken"	43	52	35.5576923076923
"Topbloemen Nederland"	52	78	34.6666666666667
"Kivi Niria Congresbureau"	38	42	34.3809523809524
"Faber Vlaggen (vh Shipmate)"	37	40	34.225
"Geschenkbezorgen.nl (incl. Wijnlatenbezorgen)"	34	34	34
"IIA Instituut van Internal Auditors"	34	34	34
"HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services)"	44	57	33.9649122807018
"Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility)"	73	157	33.9426751592357
"SMC Security Monitoring Centre"	39	45	33.8
"Brady Groupe (incl. Seton, Transposafe)"	43	55	33.6181818181818
"Vink Lisse"	40	48	33.3333333333333
"Christian Restaurant"	33	33	33
"Intersafe Groeneveld"	59	107	32.5327102803738
"Hampshire Hotel"	49	74	32.4459459459459
"Ruys Efficiency in Zakenpost, Handelsvereniging"	36	40	32.4
"TMG - de Telegraaf Media Group"	39	47	32.3617021276596
"Hotel New York Rotterdam"	35	38	32.2368421052632
"Het Kookplein Kookschool en Lunchrestaurant"	34	36	32.1111111111111
"Uit koken / Diner Thuis"	33	34	32.0294117647059
"Total Identity, Total Public"	47	69	32.0144927536232
"Alpina van Houwening & Ijsselstijn"	32	32	32
"Het Oranje Kruis"	32	32	32
"Sumo Sushi & Grill Restaurant"	32	32	32
"Vermaat Leisure, Horeca, Service"	40	50	32
"Plein 10A (Rozee, Millers Restaurant)"	31	31	31
"Studystore Studieboekencentrale"	31	31	31
"NRC Handelsblad"	36	42	30.8571428571429
"Drager Safety & Medical"	43	60	30.8166666666667
"BIS Bedrijfs Informatie Systemen (incl. Correspondentie)"	48	75	30.72
"ING Bank"	45	66	30.6818181818182
"Seats2meet.com"	37	45	30.4222222222222
"Parkhotel"	34	38	30.4210526315789
"Regus"	43	61	30.3114754098361
"VCK Groep, Travel & Logistics"	78	201	30.2686567164179
"Puur Events"	32	34	30.1176470588235
"De Eeuwige Jachtvelden Café-Restaurant"	30	30	30
"Olivier Belgisch Bier Café"	30	30	30
"Woudschoten Conferentiecentrum"	39	51	29.8235294117647
"Museum Catering"	40	54	29.6296296296296
"Van Stockum"	40	54	29.6296296296296
"ANP - Algemeen Nederlands Persbureau"	48	78	29.5384615384615
"Nevi/Neho"	51	89	29.2247191011236
"GGN (incl. van Mastrigt & Partners, Tijhuis & Partners)"	31	33	29.1212121212121
"Weka Uitgeverij"	31	33	29.1212121212121
"Het Pleidooi/Lancee Café-Restaurant"	30	31	29.0322580645161
"Humphrey's Restaurant"	29	29	29
"Nic Best Deal"	29	29	29
"Rootz Cafe Restaurant"	29	29	29
"Taartenwinkel.nl"	29	29	29
"Dokkumer Vlaggen"	34	40	28.9
"Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie"	33	38	28.6578947368421
"Vereniging VNO-NCW"	33	38	28.6578947368421
"Avex"	45	71	28.5211267605634
"Ricoh Groep (incl. Nashuatec, NRG)"	58	118	28.5084745762712
"Buitengoed Hagenhorst"	32	36	28.4444444444444
"Meeting Plaza"	36	46	28.1739130434783
"VVK Vereniging Voor Klachtrecht in De Publieke Sector"	30	32	28.125
"Colour Digital"	28	28	28
"Garoeda Indonesisch Restaurant"	28	28	28
"Multi Vlaai"	28	28	28
"Paagman Kantoorbenogigdheden"	28	28	28
"Bastion Hotels"	34	42	27.5238095238095
"Huize Molenaar Cuisinier"	34	42	27.5238095238095
"Babbilage Restaurant-Brasserij"	31	35	27.4571428571429
"Lyreco Nederland (vh Ahrend Office Products)"	56	116	27.0344827586207
"Discountoffice.nl"	27	27	27
"Intrum Justitia"	27	27	27
"MYbusinessmedia (vh Media Business Press)"	27	27	27
"Spize Asian Bistro Restaurant"	27	27	27
"In2Content"	32	38	26.9473684210526
"PBLQ (HEC, ROI, Zenc)"	72	193	26.860103626943
"Oud Poelgeest"	33	41	26.5609756097561
"EHM Hotels (incl. Apollo Hotels & Resorts)"	30	34	26.4705882352941
"Igo Post Internationale Geschenken Organisatie"	30	34	26.4705882352941
"Luden Restaurant&Brasserie"	30	34	26.4705882352941
"De Prom Utrecht (incl. Vredenburg)"	29	32	26.28125
"Stichting Kontakt der Kontinenten Conferentiehotel"	34	44	26.2727272727273
"De Baak incl. Seaside, Administratie, Hospitality, Management Centrum"	53	107	26.2523364485981
"Spaces Rode Olifant"	40	61	26.2295081967213
"Sodexo"	61	142	26.2042253521127
"Pardon Consult (vh Wassenaar Consult)"	28	30	26.1333333333333
"De Ooievaart - Ga Den Haag"	26	26	26
"Lumenz Talentontwikkeling (incl. Om de hoek)"	26	26	26
"ROC Mondriaan"	26	26	26
"Postillion Hotels"	31	37	25.972972972973
"Novotel"	33	42	25.9285714285714
"UTS UniGroup Worlwide incl. UGRN, APC verhuizen"	55	117	25.8547008547009
"Bakker & Schnabel Training"	30	35	25.7142857142857
"Bartimeus (incl. Stichting Bartiméus Accessibility)"	30	35	25.7142857142857
"Lasaulec"	29	33	25.4848484848485
"Aaaaha! The Actor Factory"	31	38	25.2894736842105
"Maxilia (incl. Greengiving.nl)"	27	29	25.1379310344828
"Staples (incl. Advantage, Corporate Express)"	54	116	25.1379310344828
"Quovadis Trustlink"	34	46	25.1304347826087
"BJU Boom Juridische Uitgevers (incl. Sun)"	47	88	25.1022727272727
"Albyco"	25	25	25
"Aloys Roemaat Transport"	30	36	25
"Banketbakkerij Maison Kelder"	25	25	25
"Besseling Vervoert"	25	25	25
"Boels Verhuur (incl. HuurMax)"	30	36	25
"De Observant Stadscafé"	25	25	25
"Hotel Des Indes Le Meridien, Lehwood"	25	25	25
"Nationale Beeldbank"	25	25	25
"Pan Café Restaurant"	25	25	25
"Poentjak Indonesisch Restaurant"	25	25	25
"Schurgers Sleutelservice"	25	25	25
"Theaterhotel De Oranjerie"	30	36	25
"Lloyd's Register (incl. Cedeo)"	34	47	24.5957446808511
"Koninklijke Ahrend (incl. Ahrend Inrichtingen)"	55	126	24.0079365079365
"Cloos Eetcafé"	24	24	24
"Het Kabinet Eten en Drinken"	24	24	24
"La Place Catering Service Restaurant"	24	24	24
"Polman's Café-Restaurant"	24	24	24
"Prodemos/Huis voor Democratie en Rechtstaat"	24	24	24
"Pulchri Studio"	24	24	24
"Stayokay"	24	24	24
"Vakmedianet Management"	24	24	24
"Den Haag Marketing & Events"	42	74	23.8378378378378
"HSK Groep"	34	49	23.5918367346939
"Aristo Holding"	27	31	23.5161290322581
"Koninklijke Fabr. Posthumus (PS Groep)"	27	31	23.5161290322581
"RAI Amsterdam"	27	31	23.5161290322581
"HOEZO! Projectmanagement en Congresorganisatie"	31	41	23.4390243902439
"A. van Helden Relatiegeschenken, Reclameartikelen"	26	29	23.3103448275862
"Taat & De Regt"	37	59	23.2033898305085
"De Wilt Cyrox Groep"	25	27	23.1481481481481
"Eden Hotels"	25	27	23.1481481481481
"Pol.nl Wegbebakening, Bewegwijzering, Politietechniek"	25	27	23.1481481481481
"Amsterdam Airport Schiphol"	52	117	23.1111111111111
"Capgemini"	91	359	23.066852367688
"Het Notuleercentrum Opleidingen"	28	34	23.0588235294118
"Athene Palace Grieks Restaurant"	23	23	23
"Het Scheepvaartmuseum Enterprise Stichting"	23	23	23
"Koken Op Maat"	23	23	23
"Le Connaisseur Grand Restaurant"	23	23	23
"NDC Mediagroep"	23	23	23
"Office Depot (incl. Viking Direct, vh Guilbert)"	23	23	23
"Pantem / Leopold Cafe-Restaurant"	23	23	23
"Simonis Oude Visafslag (incl. Catch Restaurant)"	23	23	23
"Sleutelservice.com"	23	23	23
"VNSG Vereniging Nederlandstalige SAP Gebruikers"	23	23	23
"Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia)"	29	37	22.7297297297297
"Euroforum"	26	30	22.5333333333333
"Still Intern Transport"	26	30	22.5333333333333
"Multi Post Nederland"	28	35	22.4
"Rohde & Grahl (incl. Working Well)"	39	68	22.3676470588235
"Artihove"	32	46	22.2608695652174
"Siemens Nederland"	49	108	22.2314814814815
"Concorde Group"	34	52	22.2307692307692
"Alphatron Communicatie, Observatie, Navigatie"	24	26	22.1538461538462
"La Vina Restaurant"	24	26	22.1538461538462
"Vereniging Tot Behoud van Natuurmonumenten"	24	26	22.1538461538462
"Ibis Accor Hotels"	27	33	22.0909090909091
"Tyrilo (incl. Oscars restaurant)"	27	33	22.0909090909091
"Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect)"	39	69	22.0434782608696
"De Tuinkamer"	22	22	22
"Domstad Hogeschool, Cursus- en Vergadercentrum"	22	22	22
"Frama Nederland"	22	22	22
"Geurst (incl. Pastis Restaurant)"	22	22	22
"Igluu Workspace For Professionals"	22	22	22
"MT Abonnementenland"	22	22	22
"Nestle Waters Direct (incl. Nutrition, Aqua System)"	22	22	22
"Novagraaf Nederland"	22	22	22
"Compass Group Nederland (incl. Eurest, ECS Catering, Avenance)"	52	123	21.9837398373984
"ANWB"	30	41	21.9512195121951
"Misco Nederland"	34	53	21.811320754717
"Misco Solutions (vh SCC Services)"	68	212	21.811320754717
"Innovero Software Solutions (incl. FormDesk)"	26	31	21.8064516129032
"Berenschot Groep (incl. HB, KSG, Mazars Berenschot)"	56	144	21.7777777777778
"Hulskamp Audiovisueel"	28	36	21.7777777777778
"Park Plaza"	28	36	21.7777777777778
"Linde Gas (incl. Cryoservice en Therapeutics)"	29	39	21.5641025641026
"VVV Nederland"	44	90	21.5111111111111
"OBT - Opmeer/De Bink/Tds - Boekdruk"	35	57	21.4912280701754
"Conferentiecentrum Kaap Doorn"	27	34	21.4411764705882
"Madurodam"	30	42	21.4285714285714
"UPC Nederland"	30	42	21.4285714285714
"Jungheinrich Nederland"	32	48	21.3333333333333
"Waterlogic/Watercompany International"	24	27	21.3333333333333
"Eden Springs"	23	25	21.16
"Fabory Nederland"	23	25	21.16
"Mk2 Visuele Media"	23	25	21.16
"Oud London Catering-Hotel-Restaurant"	23	25	21.16
"Primera"	23	25	21.16
"RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek)"	23	25	21.16
"Kiwa Groep (incl. Gas Technology, Prismant, Certification)"	26	32	21.125
"Winkel van Sinkel Cultureel"	26	32	21.125
"Ardis Management Development"	49	114	21.0614035087719
"De Telefoongids (KPN)"	22	23	21.0434782608696
"Barlow Bar & Restaurant / Lafayette Cafe / Tilkema"	21	21	21
"Gefelicitaart"	21	21	21
"Istana Indonesisch Restaurant"	21	21	21
"Multigift Relatiegeschenken"	21	21	21
"Paul Verhuurbedrijf"	21	21	21
"Shabu Shabu"	21	21	21
"Speakers Academy"	21	21	21
"Vide Beroepsvereniging"	21	21	21
"Wijnkoperij Henri Bloem"	21	21	21
"Neopost (incl. Neopost Finance)"	31	46	20.8913043478261
"BCN Business Centre Nederland"	25	30	20.8333333333333
"Hof der Muzen Grand Cafe (J. Kos)"	24	28	20.5714285714286
"Sligro (incl. van Hoeckel)"	33	53	20.5471698113208
"Scholten Awater & Partners"	69	232	20.5215517241379
"Topdesk"	32	50	20.48
"Schouten Global (incl. Schouten & Nelissen Groep, Thema)"	44	95	20.3789473684211
"Canon (incl. Océ Nederland)"	45	100	20.25
"Fedex - Federal Express"	22	24	20.1666666666667
"Hilton"	22	24	20.1666666666667
"&Maes"	22	24	20.1666666666667
"'T Goude Hooft Beheer Equus Stadsherberg, Hotel"	22	24	20.1666666666667
"Absoluta Food and Facilities"	25	31	20.1612903225806
"Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT)"	54	145	20.1103448275862
"Intermax"	31	48	20.0208333333333
"Albron Catering"	50	125	20
"Arenda Oomen Fotografie"	20	20	20
"DoeNederland.nl"	20	20	20
"Princeville Hotel Breda"	20	20	20
